Pop_Rank,City,State,Pop_2020,Pop_2010,Pop_2000,Pop_1990,Pop_Growth,UE_2015,UE_2016,UE_2017,UE_2018,UE_2019,Industry_Sector,Percent_Workforce,Percent_vs_National,Quality of Life,Education,Safety,Purchasing Power,Health Care,Cost of Living,Property Price to Income Ratio,Avg Rent 1BR,Avg Mthly Net Income,Rent to Income Ratio,Rent to Income Ratio over 25%,Avg Adj Annual Per Capita Personal Income,lat,lng
33,Tucson,Arizona,542629,520116,486699,405390,1.47,5.8,5.2,4.7,4.6,4.7,Business Support Services,2.9,355.6,164.48,54.26,49.81,83.69,60.77,64.34,4.05,840,3112,27%,Yes,37350,32.1545,-110.8782
5,Phoenix,Arizona,1608139,1445632,1321045,983403,2.49,5.4,4.7,4.3,4.2,4.1,Nondepository Credit Intermediation,1.1,128.4,158.95,51.5,48.27,135.94,67.15,69.37,3.77,1280,4005,32%,Yes,48065,33.5722,-112.0891
37,Mesa,Arizona,504258,439041,396375,288091,2.84,5.2,4.6,4.2,4.1,4,Nondepository Credit Intermediation,1.1,128.4,158.95,51.5,48.27,135.94,67.15,69.37,3.77,1290,4005,32%,Yes,48065,33.4017,-111.718
34,Fresno,California,542107,494665,427652,354202,2.15,11.1,7.6,6.8,5.9,5.7,Software Publishers,4.2,622.3,152.46,28.79,47.23,118.61,79.92,68.25,3.19,1390,3715,37%,Yes,44576,36.7831,-119.7941
48,Bakersfield,California,403455,347483,247057,183959,4,10.3,10.4,9.3,8.1,7.9,Support Activities for Transportation,1.2,99,152.46,49.22,42.86,118.61,54.42,68.25,5.72,1070,4089,26%,Yes,49069,35.3529,-119.0359
10,San Jose,California,1013240,945942,894943,782248,1.3,4.6,3.9,3.3,2.8,2.6,Software Publishers,4.2,622.3,188.09,81.9,54.42,157.39,73.38,73.71,6.38,2420,9507,25%,Yes,114080,37.3019,-121.8486
17,San Francisco,California,873579,805235,776733,723959,0.94,3.7,3.3,2.9,2.4,2.2,Software Publishers,2.8,380.1,156.93,79.48,41.41,133.16,64.56,93.91,7.12,2910,8691,33%,Yes,104291,37.7562,-122.443
45,Oakland,California,440646,390724,399484,372242,0.85,5.9,4.9,4.2,3.5,3.4,Software Publishers,2.8,380.1,163.54,79.48,34.43,111.73,77.4,92.93,7.2,2070,8691,24%,No,104291,37.7903,-122.2165
2,Los Angeles,California,3898747,3792621,3694820,3485398,0.56,7,5.3,4.8,4.6,4.5,Support Activities for Transportation,1.2,99,142.04,49.22,50.25,126.12,61.43,79.19,6.43,2300,5557,41%,Yes,66684,34.1139,-118.4068
42,Long Beach,California,466742,462257,461522,429433,0.42,7.3,5.4,4.9,4.7,4.6,Support Activities for Transportation,1.2,99,142.04,49.22,50.25,126.12,61.43,79.19,6.43,1740,5557,31%,Yes,66684,33.7981,-118.1675
