,City,R Squared,MSE,RMSE,MAE
27,Washington,0.9700391156333166,171016145,13077.314143071504,9146.784472049101
10,Austin,0.9685659889682102,109415684,10460.195221027632,7668.419549568057
26,Boston,0.964775884200747,354408623,18825.743647189567,15766.745270420559
57,Riverside,0.9623774960113547,184066380,13567.10656192719,9861.826087503629
14,San Francisco,0.9544366356495882,-2147483648,55050.179334303924,43293.48644911298
38,Mesa,0.9538430917161218,96119005,9804.03005289461,6166.32316549733
6,Phoenix,0.9528220143129655,109803151,10478.699897777531,6231.618321881841
23,Denver,0.9519909140713739,334164897,18280.17771539631,14817.742555849416
56,Aurora,0.9446476113994364,257426737,16044.523610763192,12984.654525496384
20,Orlando,0.9438021444100583,114169947,10685.033808424198,7638.092772507224
1,Los Angeles,0.9431116582896135,743594882,27268.936217690123,19292.19691313963
8,San Diego,0.9407027574424788,515955282,22714.64907950399,16569.652175007257
30,Sacramento,0.9386000502484422,271263581,16470.08139084672,11780.29682470923
0,New York,0.9372909793945612,419650331,20485.368725526907,17536.795003268042
11,San Jose,0.9355451299524897,-2147483648,52930.25148061292,40123.441319302336
45,Oakland,0.9350312346797105,1688741669,41094.30215384425,32522.92158667611
48,Honolulu,0.933377329860848,492403496,22190.166657513306,19680.241259803435
2,Houston,0.9329967428253992,42242181,6499.398553667991,4680.866772235072
43,Long Beach,0.9328906308174476,525090081,22914.844132091963,16172.604550521783
39,Miami,0.9326642662577135,249938658,15809.448395452715,13564.018011992688
7,Las Vegas,0.930360328705203,207280174,14397.228027991787,11414.690995566109
4,San Antonio,0.9153846468361592,40861723,6392.3175252028295,5325.568174408706
28,Portland,0.9141835705353692,534544907,23120.22724717143,20305.331644910006
24,Seattle,0.9074009953978166,1969788711,44382.301787129356,37794.16585358163
33,Fresno,0.9071992563659269,134553069,11599.701263598517,8421.396007870126
58,Bakersfield,0.904013273362945,128692871,11344.288061937832,9300.054720798977
16,Fort Worth,0.9035232593907526,104657972,10230.247910912547,8843.41882905899
51,Arlington,0.9025048393209122,108501893,10416.424228682594,9014.427961134807
50,New Orleans,0.900008000549068,72532479,8516.600257645136,7288.649147736657
29,Nashville,0.8931662989172852,216681045,14720.089843660344,12686.460801989195
55,Tampa,0.8921686303317493,204165171,14288.637844795368,11506.231588036175
47,Minneapolis,0.8878895711879182,175770148,13257.833474907871,10203.104391078605
40,Atlanta,0.8840609918526744,305236603,17471.02181508811,14528.933936277748
36,Oklahoma City,0.8767928230499238,11063018,3326.111643056026,2620.539372396856
9,Dallas,0.8741036629121481,165795721,12876.168749419072,10954.889066875214
42,Colorado Springs,0.8660394342328619,195802448,13992.942821902981,12032.516873135353
37,Raleigh,0.8491375735081177,124149001,11142.217071143976,9464.974973171848
34,Omaha,0.8480102784726755,57834527,7604.901517002378,6380.635465894071
15,Charlotte,0.8357513424904506,178463254,13359.01397887466,11444.066891260803
22,Detroit,0.8272333928926136,8319352,2884.328823165108,2507.9779550720145
13,Indianapolis,0.8225499373559171,54878766,7408.020428737455,6261.9140581899965
19,Louisville,0.807705609688626,44722361,6687.477993531525,5843.377314062573
12,Jacksonville,0.7703506359098626,150657713,12274.270367570218,9973.815939241926
17,Tucson,0.7503483201208525,125760807,11214.312602407987,9008.08113680832
41,Kansas City,0.7492802428247316,98810080,9940.326000681314,8614.786851270506
52,Knoxville,0.7279780766332815,67492175,8215.362173593685,7075.0802562443905
18,Columbus,0.7029712642870483,135366853,11634.72620877841,10080.236625412776
3,Chicago,0.699239717327844,197745923,14062.216155265938,10401.948799254667
46,Tulsa,0.6579624405094018,19219228,4383.9740103642935,3718.803089936331
44,Virginia Beach,0.6061700585614889,52622207,7254.11657316509,5585.786940508348
35,Albuquerque,0.6007191389316775,54862377,7406.9141737427735,5878.1012387072415
59,Cincinnati,0.5855679423403573,100053199,10002.659598493234,8570.246335874253
25,Memphis,0.5850701968827903,37096544,6090.6932951785975,5199.401289471098
32,Milwaukee,0.5776455068035333,96307840,9813.655841260234,8149.212161240934
54,Wichita,0.5745056209380361,27599616,5253.533758160707,4415.840810978694
5,Philadelphia,0.5248142460605981,137847979,11740.86794043032,10474.19221768413
53,Baton Rouge,0.46420841076258124,30908768,5559.565491567906,4527.8731021797075
21,El Paso,0.39680400074562683,13895936,3727.725360806263,3071.8238332431715
31,Baltimore,0.3466549032204843,75652042,8697.818236885716,6657.295325142954
49,Cleveland,0.11723927251511801,59101297,7687.736847611272,6718.581726291911
