,SizeRank,RegionName,StateName,CountyName,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
0,0,New York,New York,Queens County,444369.0,444560.0,443163.0,442489.0,442178.0,444115.0,446442.0,447742.0,449016.0,449432.0,448737.0,447040.0,446134.0,445929.0,447824.0,448052.0,448239.0,446408.0,445226.0,444560.0,443797.0,443015.0,442036.0,442103.0,441857.0,441632.0,440245.0,440162.0,440047.0,441045.0,441406.0,441744.0,442220.0,443228.0,445255.0,447263.0,448888.0,449893.0,451240.0,453027.0,455529.0,458066.0,460645.0,463454.0,466384.0,469661.0,472418.0,474987.0,478282.0,482544.0,487013.0,490452.0,492836.0,494425.0,496559.0,499196.0,502161.0,504446.0,506412.0,508734.0,511055.0,513452.0,515794.0,518839.0,522100.0,526325.0,529892.0,533293.0,536121.0,539215.0,542817.0,546171.0,548966.0,551506.0,553832.0,557083.0,560110.0,563034.0,565721.0,568673.0,571806.0,574748.0,577918.0,581449.0,585604.0,588436.0,591372.0,593522.0,597010.0,600522.0,605052.0,608956.0,612954.0,617462.0,621093.0,623901.0,626036.0,629857,633923,638221,641450,644658,646962,649745,652793,655131,657389,658632,659100,658771,659007,659422,659843,659421,659007,658239,656925,655613,654394,653930,653901,653565,652307
1,1,Los Angeles,California,Los Angeles County,443474.0,441260.0,440817.0,441873.0,445830.0,444219.0,442515.0,438684.0,435730.0,432400.0,427960.0,425356.0,423695.0,423326.0,420806.0,418116.0,412713.0,411740.0,410351.0,409012.0,405993.0,402808.0,402486.0,401045.0,400472.0,399385.0,398855.0,398920.0,400478.0,402586.0,405130.0,407594.0,411279.0,416955.0,421848.0,428643.0,433682.0,442252.0,451006.0,461810.0,470695.0,479500.0,488323.0,499478.0,509007.0,515618.0,520480.0,523211.0,527651.0,528337.0,530033.0,529716.0,531222.0,531919.0,534606.0,534265.0,534611.0,534694.0,537948.0,541286.0,545724.0,550456.0,555041.0,556674.0,559564.0,562356.0,564698.0,567443.0,570388.0,575132.0,578925.0,584545.0,587711.0,591562.0,593862.0,600103.0,604219.0,608947.0,611310.0,615416.0,620355.0,625774.0,628777.0,630619.0,634128.0,637239.0,640855.0,643133.0,647743.0,651675.0,656294.0,660355.0,664284.0,667725.0,673738.0,679687.0,685331.0,691194,697740,702650,704730,706155,709156,711451,713262,714359,715685,715600,715717,713276,711206,709806,710747,712660,713807,715688,718245,721896,725180,730358,735910,744137,752508
2,2,Houston,Texas,Harris County,127564.0,127372.0,127497.0,127711.0,127788.0,127292.0,126217.0,124908.0,123995.0,123437.0,123305.0,123019.0,122593.0,121887.0,120769.0,119869.0,119103.0,118727.0,118551.0,118598.0,118588.0,118608.0,117931.0,117526.0,117342.0,117597.0,117900.0,117867.0,117985.0,118138.0,118605.0,119024.0,119368.0,119504.0,120063.0,120641.0,121448.0,122251.0,123619.0,125255.0,126787.0,127930.0,129056.0,130244.0,131574.0,133022.0,134485.0,135808.0,136983.0,138156.0,138913.0,139729.0,140554.0,141954.0,143361.0,145041.0,146664.0,148093.0,149331.0,150588.0,151804.0,152863.0,154172.0,155428.0,156596.0,157371.0,157849.0,158346.0,158785.0,159577.0,160023.0,160517.0,161392.0,162316.0,162904.0,162970.0,163390.0,164033.0,165015.0,165519.0,166004.0,166277.0,167231.0,168244.0,168683.0,169114.0,169666.0,170584.0,171143.0,171600.0,171850.0,172077.0,172432.0,172879.0,173417.0,173881.0,174512.0,175029,175622,176576,177582,178431,179143,180035,181123,181971,182803,183599,184924,185949,186410,186294,186369,186844,187464,188070,188496,189125,189612,190179,190395,190938,191907
3,3,Chicago,Illinois,Cook County,217978.0,218203.0,215311.0,215345.0,212877.0,213038.0,209000.0,207128.0,204227.0,203049.0,200478.0,198182.0,196048.0,194139.0,192634.0,189737.0,188372.0,185790.0,185927.0,184640.0,184325.0,181420.0,180168.0,177500.0,176378.0,173644.0,173927.0,173621.0,173899.0,172653.0,171086.0,170076.0,169495.0,170387.0,171668.0,173085.0,174891.0,176633.0,177449.0,178719.0,179731.0,182260.0,184800.0,187738.0,189732.0,192368.0,193388.0,195079.0,195521.0,197250.0,198094.0,198349.0,199134.0,200491.0,201756.0,202221.0,203389.0,204138.0,205256.0,205868.0,206442.0,206536.0,207091.0,208760.0,210296.0,210940.0,211523.0,212285.0,212898.0,213122.0,213545.0,214529.0,215731.0,217645.0,219082.0,220163.0,220675.0,221501.0,222768.0,223935.0,224813.0,226072.0,227726.0,229088.0,230413.0,231394.0,233297.0,234662.0,235723.0,236150.0,236594.0,237534.0,238790.0,239629.0,240173.0,241192.0,242900.0,244113,244037,243978,244407,245367,245844,246209,246842,247568,248331,248653,248178,247789,247720,248089,248302,248372,248646,248725,248483,248278,248090,248029,248220,248599,249152
5,5,Philadelphia,Pennsylvania,Philadelphia County,148164.0,148450.0,148615.0,148611.0,148666.0,148933.0,148785.0,148156.0,146588.0,145073.0,143764.0,142957.0,142140.0,141564.0,141331.0,140607.0,139629.0,138161.0,137007.0,136095.0,135844.0,135798.0,135636.0,135332.0,134756.0,134067.0,133319.0,132825.0,132150.0,131578.0,131112.0,130981.0,130919.0,130607.0,130267.0,129880.0,129833.0,129626.0,129433.0,129619.0,130454.0,131499.0,132159.0,132465.0,132405.0,132558.0,132805.0,133235.0,133302.0,133548.0,133492.0,132882.0,132266.0,131842.0,132124.0,132045.0,132032.0,132040.0,132283.0,132877.0,133595.0,134215.0,135204.0,136358.0,137089.0,137177.0,137074.0,137624.0,138468.0,138871.0,138997.0,138118.0,138170.0,138416.0,138653.0,138696.0,138866.0,140059.0,140890.0,141709.0,142214.0,143090.0,144141.0,145877.0,146405.0,146579.0,146634.0,147867.0,149357.0,150452.0,151350.0,152164.0,153165.0,154729.0,156088.0,157538.0,158919.0,160966,163286,165051,166288,167170,168473,169848,171258,172266,173602,174887,176555,177628,178207,178591,179374,180552,181582,182578,183510,184375,185050,185581,186103,186806,187772
6,6,Phoenix,Arizona,Maricopa County,138948.0,137630.0,136195.0,135623.0,134845.0,134026.0,131449.0,129334.0,126605.0,125153.0,123143.0,121029.0,118423.0,116525.0,115566.0,113805.0,112062.0,110047.0,109554.0,109333.0,109497.0,109679.0,109869.0,111002.0,111914.0,113459.0,114440.0,117254.0,120746.0,124377.0,127293.0,130220.0,133786.0,137162.0,140824.0,143088.0,145993.0,147938.0,151068.0,153224.0,155376.0,157988.0,161328.0,164175.0,166432.0,168234.0,169095.0,170855.0,172790.0,175590.0,176294.0,176180.0,175973.0,176201.0,175991.0,176137.0,175935.0,176591.0,178043.0,179670.0,180355.0,180852.0,182697.0,185065.0,187223.0,188447.0,190350.0,192005.0,194004.0,195133.0,196106.0,197052.0,198941.0,200325.0,201281.0,202271.0,203503.0,204900.0,205438.0,206522.0,207699.0,209542.0,211336.0,212727.0,213809.0,215089.0,216617.0,218100.0,219381.0,220961.0,222816.0,223968.0,225311.0,226709.0,228562.0,230010.0,231588.0,233460,235069,236779,238304,239785,241032,242167,243487,244475,245134,245897,246853,247999,249144,249755,250566,251616,252949,254712,256293,258094,260058,262379,264658,266769,269175
7,7,Las Vegas,Nevada,Clark County,147762.0,147107.0,146572.0,145492.0,144329.0,144229.0,143861.0,143653.0,142538.0,141411.0,140658.0,139671.0,137720.0,135617.0,133757.0,132464.0,131694.0,129912.0,128759.0,126881.0,126259.0,125526.0,124862.0,124400.0,124356.0,124393.0,124260.0,124509.0,124898.0,126200.0,127223.0,129236.0,130966.0,132834.0,134893.0,137342.0,140293.0,143532.0,147676.0,151459.0,155726.0,159988.0,164821.0,169038.0,173151.0,176550.0,179619.0,181411.0,183250.0,184987.0,186407.0,187311.0,187388.0,187356.0,187757.0,188083.0,187766.0,188630.0,189671.0,192200.0,193424.0,194671.0,195343.0,196417.0,198041.0,199115.0,199292.0,200012.0,201472.0,202768.0,203338.0,204523.0,206321.0,208192.0,209035.0,210433.0,211510.0,212977.0,214311.0,215555.0,216733.0,216864.0,217720.0,216766.0,217225.0,217638.0,220955.0,223461.0,226151.0,228984.0,232607.0,235638.0,239131.0,243383.0,248085.0,252559.0,255569.0,258970,260834,263179,265406,268785,272313,276223,279053,280781,281205,282628,283965,285345,285321,285773,285993,285430,284385,283456,283210,283713,284820,285736,287089,288201,290535
12,12,Jacksonville,Florida,Duval County,142366.0,140673.0,139233.0,138828.0,138743.0,138462.0,136872.0,134520.0,132348.0,131204.0,129560.0,127350.0,124772.0,123017.0,121252.0,119602.0,117384.0,115418.0,113829.0,112688.0,111625.0,110261.0,109271.0,108640.0,108753.0,108498.0,108332.0,108436.0,108484.0,108495.0,108481.0,108817.0,109296.0,109977.0,110772.0,111955.0,112680.0,113814.0,114783.0,115789.0,117301.0,118926.0,120848.0,122471.0,123906.0,125102.0,126236.0,127291.0,128781.0,129654.0,130449.0,130737.0,131004.0,131323.0,131364.0,131445.0,131940.0,132670.0,133423.0,133440.0,133530.0,133938.0,135001.0,135847.0,136494.0,137126.0,138141.0,139195.0,139723.0,140292.0,140846.0,142160.0,143038.0,143682.0,143867.0,145056.0,146528.0,147809.0,148590.0,149357.0,150592.0,151630.0,152515.0,153227.0,154452.0,156371.0,158365.0,159396.0,159907.0,160486.0,161419.0,162889.0,164302.0,165799.0,167512.0,169373.0,170488.0,170834,171027,172150,173805,175214,176861,177957,179158,180073,181382,182275,183160,183786,184346,184825,184905,185522,185919,186564,187190,188159,188850,189904,191352,193382,195692
13,13,Indianapolis,Indiana,Marion County,105004.0,105552.0,105660.0,105859.0,105728.0,105582.0,104641.0,103279.0,101349.0,100379.0,99478.0,99291.0,99199.0,98985.0,98417.0,97289.0,95704.0,94445.0,93971.0,94441.0,95262.0,95383.0,95269.0,94650.0,93939.0,93361.0,93491.0,94007.0,94990.0,95454.0,95903.0,95736.0,95608.0,95867.0,95574.0,95561.0,95395.0,95799.0,95924.0,96601.0,97258.0,97988.0,98232.0,98777.0,99411.0,99970.0,100849.0,101803.0,103320.0,104846.0,106600.0,107513.0,107851.0,108056.0,108602.0,109051.0,109173.0,109300.0,109741.0,110156.0,110028.0,109471.0,108726.0,108624.0,108960.0,109267.0,109025.0,108670.0,108852.0,109255.0,110014.0,110822.0,111902.0,112700.0,112832.0,112588.0,112419.0,113130.0,114489.0,116007.0,117336.0,118168.0,118362.0,118198.0,118132.0,118804.0,120063.0,121484.0,122853.0,123846.0,124612.0,125378.0,125781.0,126797.0,127612.0,128419.0,128715.0,129205,130585,132444,133965,135402,136893,138405,139241,139692,140602,142463,144325,145088,145251,145142,145887,146229,146548,146837,147907,149051,150058,150381,150945,152105,153159
15,15,Charlotte,North Carolina,Mecklenburg County,172150.0,171070.0,169834.0,168847.0,168470.0,167722.0,166296.0,164985.0,163747.0,162500.0,160960.0,159701.0,158526.0,157423.0,156125.0,154562.0,152900.0,151851.0,151007.0,150381.0,149569.0,148657.0,147745.0,147723.0,147564.0,147983.0,147571.0,147680.0,147426.0,147250.0,147179.0,147450.0,148050.0,148862.0,149693.0,149636.0,149929.0,149783.0,151221.0,152567.0,154823.0,156705.0,158779.0,160228.0,161331.0,162276.0,163219.0,164725.0,165978.0,167611.0,168441.0,168876.0,169006.0,169020.0,168796.0,168539.0,168736.0,169295.0,170078.0,170882.0,171621.0,172449.0,173424.0,174589.0,175104.0,175667.0,176694.0,178476.0,179872.0,180845.0,181527.0,181896.0,182632.0,183630.0,184704.0,186061.0,187915.0,190210.0,192174.0,193324.0,194673.0,195988.0,197709.0,199551.0,201295.0,202442.0,203909.0,205285.0,206927.0,208349.0,209520.0,211288.0,212906.0,215159.0,216843.0,218644.0,220402.0,222571,224392,225790,227292,228806,230854,232394,234015,234746,235908,236883,238480,238845,239647,240508,241873,242765,243423,244333,245228,246497,247632,248816,249527,251105,252438
