RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02
102001,United States,0,1263,1274,1275,1282,1294,1304,1314,1319,1320,1320,1320,1320,1325,1332,1340,1351,1360,1369,1374,1379,1380,1381,1381,1382,1387,1394,1402,1410,1419,1426,1428,1431,1430,1429,1429,1428,1432,1438,1446,1455,1464,1471,1477,1478,1478,1477,1476,1477,1481,1487,1495,1504,1513,1522,1527,1531,1531,1531,1532,1533,1537,1544,1552,1561,1572,1580,1585,1588,1588,1586,1585,1587,1592,1601,1605,1598,1595,1597,1598,1595,1593,1592,1596,1599,1603,1609,1625,1651,1681,1713,1748,1781,1805,1823,1840,1856,1862,1883
394913,"New York, NY",1,2222,2250,2257,2262,2294,2312,2330,2338,2340,2339,2342,2335,2345,2358,2373,2403,2414,2425,2432,2441,2449,2450,2443,2441,2443,2451,2454,2470,2484,2496,2484,2494,2500,2494,2493,2485,2482,2486,2497,2512,2528,2535,2544,2541,2548,2537,2519,2521,2515,2516,2525,2539,2553,2567,2579,2585,2585,2577,2569,2566,2566,2574,2589,2600,2625,2643,2651,2651,2644,2638,2625,2613,2620,2640,2645,2631,2614,2596,2565,2507,2453,2416,2397,2389,2390,2396,2419,2458,2503,2551,2611,2655,2694,2722,2747,2778,2810,2860
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1808,1837,1826,1833,1857,1875,1894,1909,1919,1924,1923,1928,1941,1950,1966,1979,1990,2003,2018,2031,2039,2048,2056,2061,2073,2090,2102,2109,2128,2142,2146,2157,2164,2170,2171,2177,2189,2201,2212,2227,2243,2250,2264,2271,2275,2277,2282,2281,2292,2300,2308,2320,2330,2343,2352,2364,2369,2375,2382,2386,2390,2396,2403,2414,2423,2434,2444,2452,2456,2456,2460,2469,2474,2479,2477,2454,2439,2436,2433,2425,2427,2434,2439,2436,2434,2444,2458,2483,2514,2557,2600,2654,2690,2718,2742,2765,2784,2816
394463,"Chicago, IL",3,1414,1426,1427,1432,1447,1461,1470,1472,1467,1462,1461,1459,1462,1467,1457,1467,1487,1504,1514,1521,1516,1508,1500,1499,1507,1516,1526,1538,1550,1559,1565,1566,1557,1545,1537,1533,1533,1548,1560,1573,1585,1592,1595,1592,1584,1575,1569,1570,1573,1580,1592,1601,1613,1622,1624,1623,1616,1605,1602,1599,1608,1616,1628,1641,1652,1662,1667,1667,1662,1655,1646,1645,1653,1663,1672,1669,1668,1666,1662,1650,1633,1615,1604,1601,1603,1606,1626,1654,1679,1702,1721,1740,1746,1751,1757,1771,1785,1797
394514,"Dallas-Fort Worth, TX",4,1084,1110,1115,1131,1126,1129,1133,1136,1139,1137,1134,1137,1140,1146,1158,1167,1177,1184,1189,1194,1190,1189,1188,1190,1195,1199,1213,1224,1233,1242,1248,1249,1251,1251,1253,1253,1255,1261,1270,1275,1287,1295,1299,1302,1302,1304,1301,1302,1305,1311,1315,1323,1327,1335,1340,1344,1341,1345,1349,1346,1349,1359,1362,1372,1381,1387,1393,1393,1395,1394,1392,1390,1393,1400,1406,1400,1397,1402,1405,1406,1408,1414,1417,1419,1423,1432,1446,1472,1503,1540,1581,1617,1639,1652,1670,1680,1688,1699
394974,"Philadelphia, PA",5,1316,1283,1303,1306,1315,1326,1331,1336,1339,1333,1331,1318,1322,1325,1337,1348,1359,1366,1368,1368,1367,1363,1364,1362,1367,1373,1383,1391,1399,1405,1411,1405,1403,1400,1402,1400,1402,1407,1417,1424,1430,1432,1435,1436,1433,1433,1438,1438,1435,1440,1451,1460,1470,1474,1475,1478,1479,1480,1479,1483,1488,1494,1501,1507,1515,1525,1528,1528,1527,1530,1529,1529,1531,1544,1549,1542,1545,1547,1546,1549,1550,1551,1554,1560,1559,1560,1571,1589,1607,1626,1644,1675,1689,1705,1719,1741,1737,1742
394692,"Houston, TX",6,1141,1169,1158,1165,1190,1202,1216,1224,1224,1228,1225,1222,1227,1230,1235,1246,1253,1260,1265,1266,1263,1260,1259,1258,1258,1264,1270,1270,1270,1272,1271,1267,1264,1261,1255,1251,1250,1253,1260,1263,1269,1271,1271,1272,1276,1286,1293,1297,1298,1302,1307,1312,1315,1320,1323,1321,1321,1319,1323,1317,1318,1319,1325,1331,1338,1344,1347,1345,1342,1341,1339,1342,1345,1348,1353,1344,1337,1336,1334,1334,1337,1341,1347,1346,1345,1343,1353,1367,1394,1426,1457,1478,1482,1496,1503,1512,1511,1518
395209,"Washington, DC",7,1729,1769,1757,1756,1769,1783,1792,1797,1799,1787,1779,1768,1773,1781,1782,1796,1801,1811,1815,1813,1809,1812,1806,1808,1809,1815,1824,1832,1841,1850,1834,1843,1840,1837,1832,1831,1837,1843,1849,1864,1874,1879,1880,1882,1879,1870,1859,1857,1859,1865,1871,1887,1898,1910,1918,1921,1916,1911,1910,1909,1916,1925,1932,1945,1957,1967,1973,1974,1975,1967,1961,1958,1964,1971,1978,1971,1962,1960,1955,1944,1928,1912,1895,1886,1887,1889,1899,1924,1957,1994,2030,2064,2081,2097,2104,2110,2114,2120
394856,"Miami-Fort Lauderdale, FL",8,1687,1693,1695,1695,1709,1717,1735,1742,1755,1762,1771,1775,1780,1793,1796,1799,1812,1825,1828,1842,1854,1865,1876,1881,1885,1892,1898,1895,1900,1901,1902,1908,1911,1912,1919,1918,1923,1926,1930,1930,1931,1936,1943,1950,1956,1965,1965,1968,1972,1974,1977,1978,1984,1991,1997,2004,2013,2020,2026,2029,2028,2030,2035,2038,2038,2041,2047,2053,2060,2070,2079,2090,2092,2097,2093,2086,2075,2074,2076,2081,2089,2103,2120,2136,2154,2173,2203,2245,2297,2360,2440,2522,2580,2636,2710,2784,2817,2871
394347,"Atlanta, GA",9,1049,1062,1062,1070,1076,1083,1088,1092,1090,1091,1094,1096,1098,1104,1111,1120,1132,1143,1150,1151,1148,1149,1150,1152,1157,1165,1179,1187,1197,1208,1216,1218,1222,1226,1225,1224,1227,1234,1243,1252,1264,1273,1284,1289,1293,1291,1291,1292,1298,1305,1315,1324,1338,1346,1354,1360,1365,1369,1373,1376,1386,1390,1400,1410,1419,1429,1435,1440,1444,1442,1440,1441,1446,1454,1461,1455,1455,1462,1473,1485,1495,1505,1512,1523,1535,1552,1574,1605,1638,1684,1735,1791,1823,1846,1855,1855,1861,1867
