RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-03-31,2022-05-31,2023-02-28
102001,0,United States,Country,,2022-02-28,1.8,5.9,17.8
394913,1,"New York, NY",Msa,NY,2022-02-28,1.2,4.3,13.5
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,2022-02-28,1.6,5.6,17.2
394463,3,"Chicago, IL",Msa,IL,2022-02-28,1.1,4.2,13.4
394514,4,"Dallas-Fort Worth, TX",Msa,TX,2022-02-28,2.7,8.4,23.3
394974,5,"Philadelphia, PA",Msa,PA,2022-02-28,1.2,4.7,14.8
394692,6,"Houston, TX",Msa,TX,2022-02-28,1.8,6.1,17.3
395209,7,"Washington, DC",Msa,DC,2022-02-28,1.3,4.9,14.2
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,2022-02-28,2.0,7.2,21.7
394347,9,"Atlanta, GA",Msa,GA,2022-02-28,2.0,7.1,22.9
394404,10,"Boston, MA",Msa,MA,2022-02-28,1.5,5.1,15.6
395057,11,"San Francisco, CA",Msa,CA,2022-02-28,1.9,5.8,16.8
394532,12,"Detroit, MI",Msa,MI,2022-02-28,1.3,4.6,15.7
395025,13,"Riverside, CA",Msa,CA,2022-02-28,2.4,7.1,20.9
394976,14,"Phoenix, AZ",Msa,AZ,2022-02-28,2.5,8.5,25.2
395078,15,"Seattle, WA",Msa,WA,2022-02-28,2.0,6.7,20.7
394865,16,"Minneapolis-St Paul, MN",Msa,MN,2022-02-28,1.0,4.1,14.1
395056,17,"San Diego, CA",Msa,CA,2022-02-28,2.8,8.4,23.8
395121,18,"St. Louis, MO",Msa,MO,2022-02-28,1.6,5.0,14.5
395148,19,"Tampa, FL",Msa,FL,2022-02-28,2.9,8.8,26.9
394358,20,"Baltimore, MD",Msa,MD,2022-02-28,1.3,4.5,13.1
394530,21,"Denver, CO",Msa,CO,2022-02-28,2.1,7.2,20.9
394982,22,"Pittsburgh, PA",Msa,PA,2022-02-28,1.8,6.1,17.4
394998,23,"Portland, OR",Msa,OR,2022-02-28,1.9,6.2,17.7
394458,24,"Charlotte, NC",Msa,NC,2022-02-28,2.5,8.0,24.0
395045,25,"Sacramento, CA",Msa,CA,2022-02-28,1.8,6.2,18.9
395055,26,"San Antonio, TX",Msa,TX,2022-02-28,1.9,6.4,18.6
394943,27,"Orlando, FL",Msa,FL,2022-02-28,2.6,8.5,23.8
394466,28,"Cincinnati, OH",Msa,OH,2022-02-28,1.5,5.2,16.8
394475,29,"Cleveland, OH",Msa,OH,2022-02-28,1.3,5.1,16.2
394735,30,"Kansas City, MO",Msa,MO,2022-02-28,1.8,5.2,16.8
394775,31,"Las Vegas, NV",Msa,NV,2022-02-28,3.0,8.9,24.9
394492,32,"Columbus, OH",Msa,OH,2022-02-28,1.7,5.6,17.8
394705,33,"Indianapolis, IN",Msa,IN,2022-02-28,2.0,5.9,18.6
395059,34,"San Jose, CA",Msa,CA,2022-02-28,2.9,7.5,19.8
394355,35,"Austin, TX",Msa,TX,2022-02-28,2.5,8.6,26.7
395194,36,"Virginia Beach, VA",Msa,VA,2022-02-28,1.2,4.3,13.8
394902,37,"Nashville, TN",Msa,TN,2022-02-28,2.7,9.0,25.5
395005,38,"Providence, RI",Msa,RI,2022-02-28,1.3,5.3,17.8
394862,39,"Milwaukee, WI",Msa,WI,2022-02-28,1.7,5.5,16.1
394714,40,"Jacksonville, FL",Msa,FL,2022-02-28,2.4,7.5,22.2
394849,41,"Memphis, TN",Msa,TN,2022-02-28,2.0,6.3,19.5
394935,42,"Oklahoma City, OK",Msa,OK,2022-02-28,1.5,4.9,14.8
394807,43,"Louisville-Jefferson County, KY",Msa,KY,2022-02-28,1.2,4.6,15.3
