GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""00000""",United States, ,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28693,30672,31617,31839,32717,34280,35868,38120,39883,41026,39356,40690,42783,44614,44894,47017,48891,49812,51811,54098,56047,59510
" ""01000""",Alabama,5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22668,23333,24306,25057,25648,26673,28434,29949,31474,32739,33583,32769,33963,35101,35992,36258,37384,38954,39525,40864,42328,43996,46479
" ""01001""","Autauga, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2780,3158,3454,3687,4039,4246,4431,5035,5320,6101,7113,7761,8190,8746,9420,10505,11357,11878,12775,13849,14808,15482,16417,17063,17700,18683,19350,20155,21076,21993,22878,23631,24632,24990,26371,27693,29048,30008,31769,33315,32991,33776,34694,35812,36041,37240,39309,40422,41629,42931,44368,46814
" ""01003""","Baldwin, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2760,2905,3270,3584,4176,4628,5088,5781,6009,6660,7080,7801,8941,9226,10055,10847,11726,12215,12683,13540,14937,15831,16954,18107,19106,20129,21153,22342,23434,24649,25450,26829,27214,27560,28299,30726,32768,35335,36610,36467,35478,36961,38506,38778,39045,40453,42489,44044,45397,46905,48270,50953
" ""01005""","Barbour, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2147,2545,2686,3068,3401,3847,3962,4428,4998,5716,6217,6462,7246,7546,8095,9213,9791,10602,11171,12218,12986,13490,14180,14943,15349,15930,15912,16109,16670,17545,18902,18844,19979,20100,20737,22682,23857,24801,25662,25893,26189,27859,28110,28024,29953,29863,31671,31765,32759,34064,35572,37850
" ""01007""","Bibb, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,1988,2359,2630,2897,3180,3530,3811,4394,4731,5433,6051,6525,6992,7314,7887,8759,9320,10031,10302,11291,11917,12672,12896,13494,13936,14686,15352,15892,16375,16038,16349,17530,17795,18512,19504,20874,21369,22717,24142,24990,23736,25067,25904,27033,27266,28090,28972,28792,29060,30250,31540,34300
" ""01009""","Blount, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2625,2595,2790,3108,3618,3669,4312,4679,5022,5640,6099,6789,7387,7672,8041,8965,9816,9961,10566,11944,13131,13797,14269,14761,15205,15923,16537,17663,18109,19117,19575,20142,21206,21234,22328,23609,24602,24952,26702,27953,27633,27995,28582,30061,30429,31789,33022,33108,34420,35905,36969,38808
" ""01011""","Bullock, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,1809,2165,2389,2755,3195,3355,3460,4065,4451,4781,5322,5484,6156,6314,7050,7013,7602,8159,8035,8553,9650,10483,11378,12304,12645,12939,13667,13611,14796,15620,15950,15684,16756,17498,17637,18114,18371,20213,21043,23224,23818,23464,24029,24967,24926,24161,25426,25853,26429,26841,28136,31944
" ""01013""","Butler, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2017,2210,2373,2762,3184,3478,3885,4261,4693,5572,6157,6464,7355,7322,7817,8282,8591,9126,9573,10107,10741,11293,11994,12847,13580,14476,15576,16171,16408,17517,18238,18976,21010,21824,22571,23640,24471,25196,27141,27937,27488,28618,28848,30012,31533,32858,34442,34055,35231,35932,38073,39988
" ""01015""","Calhoun, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2957,3044,3412,3818,4129,4583,5207,5537,6224,6667,7278,8106,8854,9376,10055,11017,11828,12492,12918,13709,14641,15149,16062,16853,17238,17846,18696,19270,19828,20997,21470,22088,23152,24093,25135,26584,27576,28677,30231,30991,30231,31012,31787,32286,32046,32932,34267,34728,35520,36482,37708,40195
" ""01017""","Chambers, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2502,2819,3042,3497,3888,4218,4434,5070,5455,5948,6374,7056,7598,7971,8823,9355,9960,10743,11668,12390,13482,13743,13780,14669,15309,15962,16630,17328,18276,19032,19855,20262,21733,22233,22866,23564,24275,25611,26660,26186,26210,27478,28787,29316,29593,30261,31607,32649,32612,34055,36110,38508
" ""01019""","Cherokee, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2394,2482,2697,2963,3437,3571,3728,4364,4581,5291,6173,6433,7460,7677,8091,8716,9062,9495,10194,11314,12052,12458,13405,14087,14483,14948,15684,16542,17235,17585,17937,18401,19649,20012,20932,22325,23209,24196,26426,27699,27247,28186,28868,29910,31025,31997,33989,33626,34379,35647,36381,37869
" ""01021""","Chilton, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2226,2460,2803,3047,3432,3574,3977,4516,4993,5630,6238,6894,7626,8275,9008,9773,10135,10506,11031,11648,12397,13068,13547,14279,14965,15776,16754,17179,18195,18468,19401,19568,20941,21264,22002,23273,24522,26027,27347,27575,27193,27585,28846,29582,29854,30538,32072,32582,33724,34982,36471,38778
" ""01023""","Choctaw, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,1600,1932,2073,2276,2498,2759,3092,3490,3788,4389,5011,5530,6194,6886,7601,8299,8929,9939,9997,10527,11714,12472,13502,14278,14750,16020,16575,16642,17471,18335,19327,19425,19901,20488,21054,21675,22000,23095,23998,24591,25466,27957,29427,31681,33950,34788,35229,35658,36691,38200,39097,42231
" ""01025""","Clarke, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2154,2425,2670,2897,3202,3548,3835,4472,5074,5823,6407,6976,7327,7696,8320,9053,9698,10079,10452,11246,12393,13312,13902,14571,15156,15785,16951,18153,18446,18923,19506,20259,19926,20277,21345,22876,23845,25000,26598,27032,27324,28604,29216,29912,31286,32288,33548,34348,34651,35437,37061,40822
" ""01027""","Clay, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2215,2373,2484,2748,3121,3233,3703,4123,4670,5260,5704,6884,7517,8139,8182,8864,9123,9823,10495,11287,12651,13740,14567,15466,16333,17397,17945,18325,18316,19182,19079,18894,20258,20748,21701,23876,25872,27309,27691,28435,27700,27962,26619,27442,28150,29590,31248,31257,31954,33131,34185,37179
" ""01029""","Cleburne, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2575,2691,2873,3156,3566,3675,4262,4646,5229,5725,6324,7311,7592,8077,9084,9796,10272,10845,10898,11830,13083,14069,14887,14825,15953,16566,17255,17112,17235,18378,18823,18573,20425,20458,21044,23168,24462,24727,25804,27073,26780,28073,28654,30311,31478,32893,34416,34117,35057,35668,35905,37734
" ""01031""","Coffee, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2605,3142,3351,3090,3472,3943,4276,4707,5323,6095,6790,7076,8337,9007,9703,11011,11828,12691,13389,14428,15773,15560,16696,17538,18163,18678,19206,20000,20557,22952,23918,24158,25310,26013,27248,29153,29755,30513,32513,34137,33951,35458,36002,36083,37179,37836,39579,39945,40762,42176,43319,45262
" ""01033""","Colbert, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2783,3091,3380,3641,4008,4525,4805,5587,6040,6929,7525,8170,8903,9361,9601,10431,10961,11542,12170,13372,14271,15518,15995,16848,17327,18165,18873,19844,20441,20419,20802,21478,21696,22129,23694,25099,26709,28195,29677,30550,30473,31744,32640,32893,33212,34567,35562,36132,36834,37601,38860,41941
" ""01035""","Conecuh, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,1818,2045,2283,2597,3059,3271,3466,3994,4383,5224,5978,6351,7204,7469,8141,8618,9172,9371,9442,10050,11089,12030,13021,14017,14673,15888,16527,17146,18428,19217,19217,19565,19995,20140,20682,21665,22945,23055,24104,24931,25084,26326,26418,26892,28820,28604,29724,29964,31109,32588,33596,36908
" ""01037""","Coosa, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2280,2431,2575,2791,3010,3173,3459,3992,4243,4660,5247,6220,6430,6835,7523,8097,8810,9352,9859,10642,11678,12359,12861,13926,13897,14327,14775,15923,16855,17215,17639,18527,19877,20233,21746,23380,23798,25250,25643,26643,26147,23873,25409,25956,26409,26807,28339,29555,30178,31344,32548,34683
" ""01039""","Covington, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2459,2765,3007,3318,3688,3860,4239,4705,5247,5927,6483,6811,7897,8155,8842,9539,9923,10696,10881,11362,12579,13248,14049,14850,15407,16303,16748,17285,18198,19157,19413,19878,21485,22016,23116,24422,24769,25389,26717,27956,28188,29547,29481,30193,30888,31697,32751,33084,34556,35487,35927,37930
" ""01041""","Crenshaw, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,1929,2116,2285,2706,3081,3200,3866,4052,4503,5264,5312,5666,6863,6974,7899,9345,9008,9867,9733,11090,12086,12666,13658,14794,15812,16853,17353,18164,18477,20319,21389,21764,22088,21380,22766,25289,27133,26513,26831,28105,28165,30087,29157,30384,33256,33971,36372,34371,35435,36283,36783,38161
" ""01043""","Cullman, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2496,2512,2643,2909,3332,3534,4421,4722,5189,5741,6138,6880,7791,8148,8893,10076,10601,11393,11613,12520,13803,14327,14990,15887,16445,17323,17892,18397,19591,21114,21916,22071,23495,23506,25052,26749,27954,28292,29553,30281,29973,30638,31224,32672,34459,35054,37320,36662,38285,39525,41211,42659
" ""01045""","Dale, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3467,3781,3720,3913,4643,4940,5150,5684,6134,6460,7067,7738,9069,9614,10196,11325,12213,12654,13402,13590,14613,16300,16925,17847,18029,17937,18528,18936,19202,20544,21115,21480,22299,23049,24026,26000,28477,30583,31277,31482,31893,32920,33884,33364,33672,33907,34729,34668,35361,36497,37831,40111
" ""01047""","Dallas, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2557,2913,3137,3419,3807,4107,4445,4980,4778,5155,5896,6415,7360,7803,8017,8457,9013,9599,10019,10718,11575,12494,13223,13957,14404,15702,16348,16643,17557,18207,18528,19533,20231,20860,21583,23271,24307,25893,26381,27135,26866,28020,29267,29472,30015,30483,32382,33112,33845,34915,37033,41195
" ""01049""","DeKalb, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2199,2241,2386,2763,3222,3339,3908,4318,4737,5539,6168,6684,7439,7689,8028,9105,9688,9992,10803,11735,12766,13423,13969,15032,15737,16132,16745,17595,18497,19659,20073,20619,21106,21301,22210,23826,23769,23937,25500,26337,25924,26895,25904,27010,28130,28974,30660,29942,31080,32196,33427,35100
" ""01051""","Elmore, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2607,2793,3169,3552,3990,4310,4513,5279,5647,6480,7184,7889,8509,9004,9730,10729,11598,12335,12692,13452,14271,15051,15768,16614,17186,18223,19330,20252,21472,22507,23133,24032,24019,25070,26384,27872,29037,30541,31914,33498,33552,34370,35559,36604,36283,37134,39070,40371,41874,42956,44561,47270
