GeoFIPS,GeoName,Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
" ""00000""",United States, ,40690,42783,44614,44894,47017,48891,49812,51811,54098,56047
" ""01000""",Alabama,5,33963,35101,35992,36258,37384,38954,39525,40864,42328,43996
" ""01001""","Autauga, AL",5,33776,34694,35812,36041,37240,39309,40422,41629,42931,44368
" ""01003""","Baldwin, AL",5,36961,38506,38778,39045,40453,42489,44044,45397,46905,48270
" ""01005""","Barbour, AL",5,27859,28110,28024,29953,29863,31671,31765,32759,34064,35572
" ""01007""","Bibb, AL",5,25067,25904,27033,27266,28090,28972,28792,29060,30250,31540
" ""01009""","Blount, AL",5,27995,28582,30061,30429,31789,33022,33108,34420,35905,36969
" ""01011""","Bullock, AL",5,23464,24029,24967,24926,24161,25426,25853,26429,26841,28136
" ""01013""","Butler, AL",5,28618,28848,30012,31533,32858,34442,34055,35231,35932,38073
" ""01015""","Calhoun, AL",5,31012,31787,32286,32046,32932,34267,34728,35520,36482,37708
" ""01017""","Chambers, AL",5,27478,28787,29316,29593,30261,31607,32649,32612,34055,36110
" ""01019""","Cherokee, AL",5,28186,28868,29910,31025,31997,33989,33626,34379,35647,36381
" ""01021""","Chilton, AL",5,27585,28846,29582,29854,30538,32072,32582,33724,34982,36471
" ""01023""","Choctaw, AL",5,27957,29427,31681,33950,34788,35229,35658,36691,38200,39097
" ""01025""","Clarke, AL",5,28604,29216,29912,31286,32288,33548,34348,34651,35437,37061
" ""01027""","Clay, AL",5,27962,26619,27442,28150,29590,31248,31257,31954,33131,34185
" ""01029""","Cleburne, AL",5,28073,28654,30311,31478,32893,34416,34117,35057,35668,35905
" ""01031""","Coffee, AL",5,35458,36002,36083,37179,37836,39579,39945,40762,42176,43319
" ""01033""","Colbert, AL",5,31744,32640,32893,33212,34567,35562,36132,36834,37601,38860
" ""01035""","Conecuh, AL",5,26326,26418,26892,28820,28604,29724,29964,31109,32588,33596
" ""01037""","Coosa, AL",5,23873,25409,25956,26409,26807,28339,29555,30178,31344,32548
" ""01039""","Covington, AL",5,29547,29481,30193,30888,31697,32751,33084,34556,35487,35927
" ""01041""","Crenshaw, AL",5,30087,29157,30384,33256,33971,36372,34371,35435,36283,36783
" ""01043""","Cullman, AL",5,30638,31224,32672,34459,35054,37320,36662,38285,39525,41211
" ""01045""","Dale, AL",5,32920,33884,33364,33672,33907,34729,34668,35361,36497,37831
" ""01047""","Dallas, AL",5,28020,29267,29472,30015,30483,32382,33112,33845,34915,37033
" ""01049""","DeKalb, AL",5,26895,25904,27010,28130,28974,30660,29942,31080,32196,33427
" ""01051""","Elmore, AL",5,34370,35559,36604,36283,37134,39070,40371,41874,42956,44561
" ""01053""","Escambia, AL",5,26863,27622,28886,29490,29579,30189,30612,32014,32445,34338
" ""01055""","Etowah, AL",5,30356,30851,31290,31486,32712,34134,34671,35586,36583,37700
" ""01057""","Fayette, AL",5,26262,27176,28632,29267,30247,32134,32388,33362,34231,35856
" ""01059""","Franklin, AL",5,27957,27927,28408,28764,29872,31649,31107,32407,33951,34831
" ""01061""","Geneva, AL",5,28968,29391,29395,30710,31188,32807,32916,33893,34708,36455
" ""01063""","Greene, AL",5,26623,27409,27409,30249,28453,30275,30638,30978,30762,32534
" ""01065""","Hale, AL",5,28908,30196,30820,31973,31903,33998,34675,35155,35615,37825
" ""01067""","Henry, AL",5,30931,32509,33381,35198,36075,37957,39147,40614,42010,43738
" ""01069""","Houston, AL",5,35542,36714,36913,36860,37758,39069,39814,40957,42611,44300
" ""01071""","Jackson, AL",5,29620,30489,31244,32293,33145,34073,34584,35430,36672,38002
" ""01073""","Jefferson, AL",5,42213,43532,45701,45099,46784,49035,49765,52485,54777,56599
" ""01075""","Lamar, AL",5,26722,28106,29268,29401,30093,31347,31808,32270,33022,34549
" ""01077""","Lauderdale, AL",5,31127,31998,32581,32601,33971,34935,35220,35567,36712,38135
" ""01079""","Lawrence, AL",5,27755,28386,29394,31319,32107,31969,31137,32520,33900,35414
" ""01081""","Lee, AL",5,30101,31165,32387,32237,33610,34886,36056,37145,38184,40439
" ""01083""","Limestone, AL",5,34196,35858,36734,36924,37359,38497,39698,41539,43495,44841
" ""01085""","Lowndes, AL",5,30920,31003,33556,35433,36475,37876,37133,38990,39544,41449
" ""01087""","Macon, AL",5,25560,26220,26753,27587,28536,29624,30675,31170,32321,34213
" ""01089""","Madison, AL",5,42038,43776,44505,44326,45478,47175,48385,49701,51759,54169
" ""01091""","Marengo, AL",5,30547,31701,32886,33499,34677,35783,36336,36931,39217,40297
" ""01093""","Marion, AL",5,25687,25991,27349,27954,29296,30441,30460,31708,32459,33433
" ""01095""","Marshall, AL",5,29798,29794,31092,31401,32486,34512,33990,34901,35990,37913
" ""01097""","Mobile, AL",5,32009,33816,33559,34014,34704,36151,36315,37061,38195,40003
" ""01099""","Monroe, AL",5,27308,27352,27438,28675,29336,31165,31389,32028,32808,34489
" ""01101""","Montgomery, AL",5,35807,37503,37507,37895,38948,40538,41576,42517,43442,44597
" ""01103""","Morgan, AL",5,32523,33063,33880,34393,35924,36684,37006,38275,39908,41895
" ""01105""","Perry, AL",5,26116,26793,26872,28104,26803,28571,29267,30717,30795,32198
" ""01107""","Pickens, AL",5,29081,29354,31000,32025,30858,31184,31125,32281,32981,34590
" ""01109""","Pike, AL",5,31795,32322,31648,30906,33455,34727,35070,36110,36785,38057
" ""01111""","Randolph, AL",5,27650,26489,27812,28676,30559,32034,31157,32032,32974,33708
" ""01113""","Russell, AL",5,28391,29558,29159,28758,29104,30406,31066,32569,32270,33796
" ""01115""","St. Clair, AL",5,29912,31103,32931,32705,34306,35705,36314,37674,39658,41015
" ""01117""","Shelby, AL",5,42357,44798,46741,47165,49091,50996,51577,53196,55482,57793
" ""01119""","Sumter, AL",5,26551,26868,28065,30016,29435,29571,30107,30360,30492,32057
" ""01121""","Talladega, AL",5,27860,28685,29450,29835,31068,31895,32632,33196,34277,35717
" ""01123""","Tallapoosa, AL",5,32724,32984,34190,34677,35112,37582,38548,39138,40576,42544
" ""01125""","Tuscaloosa, AL",5,32495,33528,34429,34396,35575,36274,36450,37746,39062,40329
" ""01127""","Walker, AL",5,33185,34577,34877,34758,36081,37449,37212,38936,40267,41976
