StateID,SizeRank,StateName,RegionType,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
9,0,California,State,334006,333810,334587,335764,337485,337017,335726,334062,332750,331019,328651,326613,324888,323423,321206,318951,315849,314027,312583,311168,309480,307633,306901,305721,304983,304423,304600,305287,306825,308746,311068,313988,317372,321549,325401,330487,335514,341473,348066,355438,362989,370604,378073,385353,391783,397373,402495,406948,411466,415177,417355,418414,419028,419865,421182,421874,423137,424490,426958,428782,430702,432881,436160,438895,441760,443971,446142,448727,451692,454906,457425,460930,464023,466704,468372,471032,473590,476308,478638,481619,484368,487374,489910,492092,494493,497082,500194,503014,506266,509773,512723,515450,518472,521932,526091,530358,534835,539252,543105,545959,548081,550054,552266,553939,554943,555697,556407,556266,555695,554527,553933,554131,554663,555305,556199,557569,559490,561495,563523,566433,569813,573975,578267
54,1,Texas,State,137726,137702,137715,137807,137833,137714,137247,136718,136185,135759,135247,134821,134413,133890,133320,132749,132287,131864,131680,131655,131750,131772,131646,131478,131451,131687,132032,132328,132646,132996,133424,133808,134100,134381,134832,135421,136111,136752,137506,138349,139213,140085,140977,141913,142946,144033,145113,146067,146931,147822,148615,149380,150178,151098,151974,152922,153868,154845,155816,156823,157844,158856,159941,161046,162077,163091,164088,165053,165939,166883,167742,168643,169584,170497,171382,172238,173269,174242,175300,176224,177210,178102,179215,180390,181448,182498,183417,184405,185242,186104,186867,187640,188474,189462,190464,191376,192172,192999,193974,195061,196105,197116,198023,198972,199756,200683,201495,202476,203433,204358,204958,205377,205843,206423,207079,207699,208380,208865,209358,209723,210164,210591,211199
43,2,New York,State,265765,265719,265568,265747,265827,266209,266343,266122,265513,264597,263739,262806,262195,261604,261166,260303,259396,258204,257293,256631,256185,255858,255362,254965,254497,253917,253395,253031,252979,253057,253168,253348,253543,253678,253953,254314,254708,255302,255809,256563,257251,258069,258877,259580,260285,261119,261970,262722,263470,264192,265040,265656,266168,266542,266815,267162,267530,267984,268428,269022,269595,270055,270357,270765,271276,271945,272713,273463,274209,274785,275352,275749,276181,276921,277869,278857,279700,280370,281070,281881,282741,283733,284786,286089,287324,288271,289105,290142,291567,293268,294866,296326,297694,299125,300565,301822,303174,304590,306064,307454,308727,310035,311485,313053,314709,316173,317445,318491,319425,320268,321233,322061,322909,323518,324039,324498,324903,325371,325925,326646,327360,328101,328677
14,3,Florida,State,159692,158933,158424,157944,157403,156597,155503,154213,152850,151362,149755,148251,146713,145286,143783,142438,141159,140155,139237,138613,138138,137894,137748,137636,137635,137685,137993,138470,139053,139734,140524,141426,142379,143417,144501,145755,147224,148882,150588,152328,154225,156119,158156,160250,162383,164278,166120,167802,169366,170689,171967,173048,174060,174920,175794,176432,177163,178153,179235,180328,181342,182486,183623,184760,185940,187199,188386,189737,191143,192545,193809,195185,196669,198234,199575,200920,202167,203579,205051,206449,207690,208834,210156,211429,212753,213938,215195,216603,218018,219415,220664,222072,223442,224803,226015,227254,228195,229278,230565,232037,233524,234746,235901,236997,238143,239227,240303,241419,242436,243067,243435,243819,244230,244754,245385,245996,246632,247345,248103,248825,249766,250981,252309
21,4,Illinois,State,185760,185496,184139,184013,182880,182904,180747,179618,177831,176861,174964,173343,171726,170479,169328,167477,166197,164361,163916,162818,162256,160499,159602,158157,157389,155851,155485,155004,154996,154561,153946,153383,152870,153202,153736,154307,154972,155859,156474,157377,157983,159185,160302,161889,163285,164845,165650,166686,167293,168199,168593,168761,169182,169901,170651,171076,171605,171905,172474,172865,173234,173350,173850,174640,175407,175635,175906,176148,176482,176722,177013,177470,178058,179086,179961,180697,181200,181846,182618,183355,183984,184681,185533,186451,187436,188194,189094,189921,190695,191287,191800,192487,193258,194120,194924,195794,196653,197305,197657,197969,198406,199019,199511,199965,200502,201000,201475,201729,201814,202066,202326,202678,202923,203158,203458,203678,203788,203850,203907,204058,204302,204527,204839
47,5,Pennsylvania,State,168807,169004,169194,169324,169379,169320,169041,168606,167921,167105,166181,165326,164521,163769,163031,162199,161387,160570,159945,159524,159306,159113,158868,158570,158235,157906,157617,157450,157382,157303,157187,157100,157038,157060,157115,157255,157446,157649,157863,158157,158483,158893,159318,159681,160020,160267,160571,160788,161029,161258,161455,161510,161531,161676,161914,162103,162213,162327,162476,162697,162870,163010,163299,163729,164267,164534,164700,164884,165218,165602,165945,166193,166596,167144,167503,167720,167798,168241,168724,169294,169731,170194,170724,171430,171920,172358,172774,173495,174265,175009,175723,176452,177251,178091,178842,179576,180412,181286,182482,183527,184516,185118,185701,186276,186932,187529,188227,188886,189618,190311,190764,191190,191696,192437,193202,193945,194608,195286,195918,196555,197133,197735,198377
44,6,Ohio,State,119593,119674,119611,119542,119363,119156,118723,118219,117647,117074,116443,115772,115216,114640,114150,113505,112890,112315,111959,111676,111404,111083,110808,110588,110308,110005,109805,109707,109577,109384,109231,109188,109237,109292,109327,109391,109588,109871,110113,110382,110723,111172,111575,111967,112259,112655,112999,113290,113312,113271,113226,113294,113425,113629,113875,114022,114228,114374,114677,115057,115612,116205,116739,117187,117648,118084,118519,118934,119333,119720,120084,120412,120819,121216,121729,122199,122630,123046,123507,124046,124614,125197,125833,126532,127273,127971,128608,129274,129921,130596,131182,131938,132735,133637,134412,135133,135609,136231,136924,137903,138786,139599,140358,141008,141588,142155,142892,143648,144455,145173,145875,146398,146936,147560,148267,148958,149681,150356,150953,151551,152229,152916,153593
30,7,Michigan,State,104903,104532,104315,104180,104202,104232,103826,103271,102457,101737,100935,100304,99591,99053,98369,97673,96936,96244,95761,95564,95595,95655,95662,95672,95721,95745,96025,96353,96838,97345,98009,98635,99229,99964,100786,101561,102359,103376,104547,105781,106966,108170,109469,110854,112321,113628,114860,116122,117406,118512,119350,120072,120831,121673,122391,122953,123386,123872,124429,124938,125464,126029,126762,127411,127938,128403,128921,129543,130053,130565,131163,131965,132712,133407,133897,134662,135480,136405,137326,138203,139283,140362,141341,142192,143029,143928,144980,146051,147223,148215,149038,149896,150790,151767,152792,153797,155029,156289,157497,158537,159421,160428,161435,162529,163480,164396,165196,166175,166925,167685,168183,168709,169249,169906,170651,171318,172047,172772,173597,174330,175146,175948,176977
16,8,Georgia,State,142475,141845,141244,141000,140817,140443,139495,138236,136698,135371,133968,132826,131595,130583,129273,127828,126167,124703,123595,122947,122670,122417,122115,121456,120965,120462,120535,120722,121125,121549,122062,122390,122554,122769,123366,124202,125257,126353,127425,128432,129529,130727,131941,133295,134726,136181,137408,138688,139774,140851,141717,142589,143345,144044,144803,145512,146272,146969,147690,148346,148986,149594,150188,150873,151711,152615,153389,154144,154868,155557,156238,156899,157740,158562,159531,160478,161355,162063,162690,163330,163864,164586,165381,166351,167152,168027,168891,169803,170720,171783,172973,174126,175490,176785,178215,179579,181018,182368,183518,184700,185955,187312,188621,189860,191024,192208,193428,194542,195505,196271,197208,198157,199137,199915,200671,201487,202268,203012,203623,204290,205044,205955,206804
36,9,North Carolina,State,162037,161572,161171,160933,160800,160569,160055,159476,158810,158191,157520,156906,156213,155528,154725,153786,152941,152274,151786,151277,150867,150340,149844,149356,149001,148737,148553,148571,148493,148359,148231,148288,148344,148451,148575,148692,148849,149006,149336,149679,150150,150651,151171,151688,152154,152687,153145,153716,154189,154681,154983,155231,155442,155627,155785,155864,156054,156275,156664,157047,157531,158015,158634,159161,159624,160058,160616,161263,161819,162313,162718,163088,163504,164011,164483,165085,165817,166726,167600,168424,169288,170136,171036,171959,172833,173633,174519,175479,176420,177231,177938,178738,179613,180689,181713,182793,183877,185010,186047,186943,187921,188950,190119,191214,192254,193106,194045,194993,196050,196911,197729,198563,199401,200259,201069,201906,202753,203661,204527,205358,206116,207023,208001
