Orig_City_State_Name,City_Name,State_Name,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_Num_Change_2010_2019,Pop_Percent_Change_2010_2019
"New York city, New York",New York,New York,"8,175,031","8,272,948","8,346,693","8,396,091","8,433,806","8,463,049","8,469,153","8,437,478","8,390,081","8,336,817","161,786",2
"Los Angeles city, California",Los Angeles,California,"3,793,139","3,820,876","3,851,202","3,881,622","3,909,901","3,938,568","3,963,226","3,975,788","3,977,596","3,979,576","186,437",4.9
"Chicago city, Illinois",Chicago,Illinois,"2,695,652","2,708,114","2,719,141","2,725,731","2,727,066","2,724,344","2,716,723","2,711,069","2,701,423","2,693,976","-1,676",-0.1
"Houston city, Texas",Houston,Texas,"2,095,517","2,126,032","2,161,593","2,199,391","2,241,826","2,286,908","2,309,544","2,316,750","2,318,573","2,320,268","224,751",10.7
"Phoenix city, Arizona",Phoenix,Arizona,"1,446,691","1,469,796","1,499,274","1,526,491","1,555,445","1,583,690","1,612,199","1,633,560","1,654,675","1,680,992","234,301",16.2
"Philadelphia city, Pennsylvania",Philadelphia,Pennsylvania,"1,526,012","1,540,466","1,551,824","1,558,313","1,565,460","1,571,065","1,576,051","1,580,601","1,583,592","1,584,064","58,052",3.8
"San Antonio city, Texas",San Antonio,Texas,"1,326,161","1,357,120","1,383,075","1,408,339","1,435,456","1,464,043","1,487,843","1,511,154","1,530,016","1,547,253","221,092",16.7
"San Diego city, California",San Diego,California,"1,301,929","1,319,592","1,336,776","1,355,320","1,375,831","1,387,323","1,402,089","1,412,621","1,421,917","1,423,851","121,922",9.4
"Dallas city, Texas",Dallas,Texas,"1,197,658","1,218,282","1,242,115","1,258,835","1,279,098","1,301,329","1,323,916","1,342,479","1,341,802","1,343,573","145,915",12.2
"San Jose city, California",San Jose,California,"952,528","970,369","983,530","1,001,279","1,014,273","1,025,980","1,030,242","1,032,335","1,028,020","1,021,795","69,267",7.3
"Austin city, Texas",Austin,Texas,"801,829","828,459","854,482","875,003","901,170","921,114","939,447","951,553","962,469","978,908","177,079",22.1
"Jacksonville city, Florida",Jacksonville,Florida,"821,750","829,609","837,013","842,735","852,494","865,836","880,520","892,025","902,437","911,507","89,757",10.9
"Fort Worth city, Texas",Fort Worth,Texas,"744,824","764,142","781,046","796,073","815,057","835,356","856,177","874,809","893,216","909,585","164,761",22.1
"Columbus city, Ohio",Columbus,Ohio,"789,018","800,607","812,740","827,797","841,673","854,950","866,894","881,694","890,869","898,553","109,535",13.9
"Charlotte city, North Carolina",Charlotte,North Carolina,"735,607","754,829","773,264","792,047","807,400","825,668","843,117","860,002","872,514","885,708","150,101",20.4
"San Francisco city, California",San Francisco,California,"805,184","815,650","828,876","839,572","850,750","863,010","871,512","878,040","880,696","881,549","76,365",9.5
"Indianapolis city (balance), Indiana",Indianapolis,Indiana,"820,457","827,664","835,499","844,696","850,164","853,714","859,049","863,478","870,960","876,384","55,927",6.8
"Seattle city, Washington",Seattle,Washington,"608,661","622,694","635,928","653,588","670,109","687,386","709,631","728,661","742,235","753,675","145,014",23.8
"Denver city, Colorado",Denver,Colorado,"599,825","620,530","635,163","649,391","664,582","683,285","696,159","704,961","716,265","727,211","127,386",21.2
"Washington city, District of Columbia",Washington,District of Columbia,"601,767","619,800","634,924","650,581","662,328","675,400","685,815","694,906","701,547","705,749","103,982",17.3
"Boston city, Massachusetts",Boston,Massachusetts,"617,792","630,505","642,955","653,002","662,855","670,491","679,848","687,788","691,147","692,600","74,808",12.1
"El Paso city, Texas",El Paso,Texas,"648,245","664,404","674,941","674,808","677,235","676,242","679,955","681,343","679,875","681,728","33,483",5.2
"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,Tennessee,"603,438","612,518","625,550","635,999","645,259","655,498","661,765","663,587","667,006","670,820","67,382",11.2
"Detroit city, Michigan",Detroit,Michigan,"713,898","705,118","700,183","691,868","682,609","679,410","677,143","674,631","672,977","670,031","-43,867",-6.1
"Oklahoma City city, Oklahoma",Oklahoma City,Oklahoma,"580,462","590,947","600,971","612,061","621,639","632,172","639,924","642,822","647,912","655,057","74,595",12.9
"Portland city, Oregon",Portland,Oregon,"583,793","595,451","604,264","609,890","620,510","631,366","642,720","647,924","650,837","654,741","70,948",12.2
"Las Vegas city, Nevada",Las Vegas,Nevada,"584,489","586,606","593,275","599,551","607,976","617,487","626,538","635,262","643,228","651,319","66,830",11.4
"Memphis city, Tennessee",Memphis,Tennessee,"651,873","655,341","658,786","657,146","654,990","654,106","652,548","650,878","651,104","651,073",-800,-0.1
"Louisville/Jefferson County metro government (balance), Kentucky",Louisville,Kentucky,"595,710","599,920","604,246","610,471","612,634","615,372","617,583","619,728","618,495","617,638","21,928",3.7
"Baltimore city, Maryland",Baltimore,Maryland,"620,770","620,410","622,895","622,391","623,587","622,522","616,226","610,481","602,443","593,490","-27,280",-4.4
"Milwaukee city, Wisconsin",Milwaukee,Wisconsin,"594,498","597,086","598,569","599,916","600,664","600,477","596,996","593,725","591,375","590,157","-4,341",-0.7
"Albuquerque city, New Mexico",Albuquerque,New Mexico,"546,153","552,066","555,002","557,445","557,444","557,937","559,192","559,673","559,629","560,513","14,360",2.6
"Tucson city, Arizona",Tucson,Arizona,"526,634","530,709","531,880","532,945","534,800","535,607","537,528","541,377","544,858","548,073","21,439",4.1
"Fresno city, California",Fresno,California,"497,172","501,429","505,414","508,880","514,100","518,203","521,426","525,373","528,814","531,576","34,404",6.9
"Mesa city, Arizona",Mesa,Arizona,"440,092","447,681","456,968","464,803","473,132","481,811","490,695","500,021","507,945","518,012","77,920",17.7
"Sacramento city, California",Sacramento,California,"466,383","470,902","474,226","478,214","482,762","488,133","494,127","500,777","507,737","513,624","47,241",10.1
"Atlanta city, Georgia",Atlanta,Georgia,"427,059","437,812","449,016","453,990","461,154","468,303","479,174","491,670","498,183","506,811","79,752",18.7
"Kansas City city, Missouri",Kansas City,Missouri,"459,902","462,368","464,595","467,213","470,629","475,073","481,670","488,329","492,012","495,327","35,425",7.7
"Colorado Springs city, Colorado",Colorado Springs,Colorado,"417,447","427,434","432,782","438,146","442,361","449,572","458,714","465,167","472,567","478,221","60,774",14.6
"Omaha city, Nebraska",Omaha,Nebraska,"458,989","462,101","465,261","468,086","470,423","472,638","475,044","476,271","477,299","478,192","19,203",4.2
"Raleigh city, North Carolina",Raleigh,North Carolina,"404,068","413,958","423,304","431,391","439,503","449,546","459,469","465,776","469,314","474,069","70,001",17.3
"Miami city, Florida",Miami,Florida,"399,481","406,593","411,149","415,661","425,110","434,738","449,149","456,617","462,819","467,963","68,482",17.1
"Long Beach city, California",Long Beach,California,"462,221","464,512","466,873","468,000","469,109","470,128","468,719","466,646","465,865","462,628",407,0.1
"Virginia Beach city, Virginia",Virginia Beach,Virginia,"437,903","442,583","445,044","447,706","448,864","450,304","450,983","449,896","449,849","449,974","12,071",2.8
"Oakland city, California",Oakland,California,"390,765","396,086","401,104","406,648","412,901","418,211","420,947","424,382","429,056","433,031","42,266",10.8
"Minneapolis city, Minnesota",Minneapolis,Minnesota,"382,603","388,052","392,768","400,070","407,067","411,030","415,079","420,925","424,903","429,606","47,003",12.3
"Tulsa city, Oklahoma",Tulsa,Oklahoma,"392,004","393,005","394,643","398,401","399,892","403,491","404,007","402,060","400,414","401,190","9,186",2.3
"Tampa city, Florida",Tampa,Florida,"336,150","342,589","348,090","355,172","362,664","371,464","380,344","391,026","397,232","399,700","63,550",18.9
"Arlington city, Texas",Arlington,Texas,"365,098","370,253","375,629","378,950","382,721","388,728","394,384","397,173","398,123","398,854","33,756",9.2
"New Orleans city, Louisiana",New Orleans,Louisiana,"343,828","360,735","369,787","378,637","383,940","389,742","391,843","391,493","391,004","390,144","46,316",13.5
"Wichita city, Kansas",Wichita,Kansas,"382,437","383,773","385,751","387,210","388,416","389,412","390,519","390,277","389,231","389,938","7,501",2
"Bakersfield city, California",Bakersfield,California,"347,817","353,221","357,312","362,834","366,954","371,348","374,699","377,940","381,714","384,145","36,328",10.4
"Cleveland city, Ohio",Cleveland,Ohio,"396,665","392,667","391,550","391,792","390,871","389,244","387,662","385,252","383,214","381,009","-15,656",-3.9
"Aurora city, Colorado",Aurora,Colorado,"324,659","332,730","339,261","345,613","352,660","360,098","363,277","367,574","374,572","379,289","54,630",16.8
"Anaheim city, California",Anaheim,California,"336,109","339,831","342,071","343,832","344,604","348,251","350,013","350,476","350,698","350,365","14,256",4.2
"Urban Honolulu CDP, Hawaii",Honolulu,Hawaii,"337,721","343,059","346,845","349,237","349,561","351,571","351,747","349,750","346,945","345,064","7,343",2.2
